,Driver,QualifyingTime (s),DriverCode
0,Max Verstappen,86.983,
1,Lando Norris,86.995,
2,Oscar Piastri,87.027,
3,Charles Leclerc,87.299,
4,George Russell,87.318,
5,Kimi Antonelli,87.555,
6,Isack Hadjar,87.569,
7,Lewis Hamilton,87.61,
8,Alexander Albon,87.615,
9,Oliver Bearman,87.711,
10,Pierre Gasly,87.822,
11,Carlos Sainz,87.836,
12,Fernando Alonso,87.89699999999999,
13,Liam Lawson,87.906,
14,Yuki Tsunoda,87.967,
15,Nico Hulkenberg,88.57,
16,Gabriel Bortoleto,88.622,
17,Esteban Ocon,88.696,
18,Jack Doohan,88.877,
19,Lance Stroll,89.271,
